Note - Accuracy greater than 100% implies that the SAM mask had a greater area than the original annotated image, whereas an accuracy of less than 100% means that the SAM mask had a lesser area than the original image.
Low accuracy (~80-85%) is observed in the cases of shadows on the roads or when there are puddles of water and light reflects off them
Higher accuracy is observed due to the model including the footpaths or the edges of the footpath in the mask(especially at night time).
This can be reduced by taking better quality pictures with a good camera, a larger dataset, and making accurate annotations.
(A few images were low in quality, taken from a different phone, just to check how the model performs. This led to slight inaccuracy)
The overall accuracy was ~101% which means that the SAM mask is pretty accurate.
The measure of accuracy here is very crude and just considers the area of the mask and the annotations and finds the accuracy based on that, but it gives us a general idea of the accuracy.


4-67_jpg	Accuracy=103.91%
4-37_jpg	Accuracy=106.72%
1-57_jpg	Accuracy=105.94%
7-46_jpg	Accuracy=95.75%
6-5_jpg	Accuracy=103.51%
6-4_jpg	Accuracy=101.28%
5-55_jpg	Accuracy=101.06%
7-48_jpg	Accuracy=92.09%
1-17_jpg	Accuracy=100.82%
7-5_jpg	Accuracy=100.91%
1-30_jpg	Accuracy=101.19%
7-27_jpg	Accuracy=101.26%
3-16_jpg	Accuracy=100.55%
4-73_jpg	Accuracy=81.80%
1-65_jpg	Accuracy=103.75%
0-2_jpg	Accuracy=103.51%
7-22_jpg	Accuracy=101.24%
3-0_jpg	Accuracy=100.52%
4-19_jpg	Accuracy=101.91%
7-42_jpg	Accuracy=100.31%
4-55_jpg	Accuracy=103.43%
3-15_jpg	Accuracy=99.32%
4-49_jpg	Accuracy=98.71%
7-24_jpg	Accuracy=100.00%
1-38_jpg	Accuracy=100.55%
7-44_jpg	Accuracy=100.27%
1-42_jpg	Accuracy=100.47%
1-39_jpg	Accuracy=102.26%
1-24_jpg	Accuracy=101.44%
4-83_jpg	Accuracy=93.53%
4-27_jpg	Accuracy=100.37%
3-12_jpg	Accuracy=98.32%
4-47_jpg	Accuracy=101.40%
4-2_jpg	Accuracy=102.33%
6-1_jpg	Accuracy=102.03%
3-9_jpg	Accuracy=99.32%
4-23_jpg	Accuracy=98.28%
7-39_jpg	Accuracy=100.50%
6-0_jpg	Accuracy=105.00%
1-19_jpg	Accuracy=100.10%
1-0_jpg	Accuracy=104.23%
1-13_jpg	Accuracy=106.83%
7-34_jpg	Accuracy=101.40%
1-21_jpg	Accuracy=101.62%
6-6_jpg	Accuracy=102.34%
1-5_jpg	Accuracy=103.13%
5-41_jpg	Accuracy=109.68%
7-49_jpg	Accuracy=83.02%
4-61_jpg	Accuracy=102.52%
7-4_jpg	Accuracy=101.07%
2-4_jpg	Accuracy=89.53%
5-15_jpg	Accuracy=103.04%
7-35_jpg	Accuracy=101.21%
4-43_jpg	Accuracy=102.42%
1-29_jpg	Accuracy=102.81%
7-20_jpg	Accuracy=101.16%
5-0_jpg	Accuracy=100.51%
7-45_jpg	Accuracy=102.38%
5-53_jpg	Accuracy=101.04%
7-38_jpg	Accuracy=100.03%
1-14_jpg	Accuracy=101.49%
4-40_jpg	Accuracy=101.18%
4-63_jpg	Accuracy=93.22%
1-50_jpg	Accuracy=102.62%
5-8_jpg	Accuracy=101.00%
7-19_jpg	Accuracy=98.87%
4-18_jpg	Accuracy=102.62%
4-15_jpg	Accuracy=103.03%
5-26_jpg	Accuracy=105.63%
5-25_jpg	Accuracy=107.77%
4-65_jpg	Accuracy=83.88%
4-22_jpg	Accuracy=100.50%
1-32_jpg	Accuracy=98.05%
4-81_jpg	Accuracy=84.33%
4-74_jpg	Accuracy=94.89%
5-30_jpg	Accuracy=103.40%
5-16_jpg	Accuracy=105.11%
4-78_jpg	Accuracy=101.56%
4-33_jpg	Accuracy=97.03%
0-0_jpg	Accuracy=98.08%
7-11_jpg	Accuracy=99.42%
3-1_jpg	Accuracy=101.64%
3-3_jpg	Accuracy=100.56%
1-1_jpg	Accuracy=106.41%
4-54_jpg	Accuracy=103.49%
1-8_jpg	Accuracy=102.95%
7-2_jpg	Accuracy=101.12%
1-64_jpg	Accuracy=102.04%
1-25_jpg	Accuracy=100.21%
3-14_jpg	Accuracy=99.81%
4-28_jpg	Accuracy=101.50%
7-43_jpg	Accuracy=101.06%
7-28_jpg	Accuracy=101.23%
1-22_jpg	Accuracy=102.48%
4-21_jpg	Accuracy=100.29%
7-6_jpg	Accuracy=101.31%
4-71_jpg	Accuracy=92.13%
5-27_jpg	Accuracy=101.24%
1-62_jpg	Accuracy=102.00%
5-52_jpg	Accuracy=101.28%
4-80_jpg	Accuracy=92.75%
1-6_jpg	Accuracy=104.41%
4-11_jpg	Accuracy=103.56%
3-6_jpg	Accuracy=100.67%
5-19_jpg	Accuracy=105.18%
0-3_jpg	Accuracy=102.82%
5-2_jpg	Accuracy=102.24%
7-15_jpg	Accuracy=102.22%
1-49_jpg	Accuracy=101.59%
5-60_jpg	Accuracy=101.22%
1-31_jpg	Accuracy=101.25%
1-15_jpg	Accuracy=104.17%
4-57_jpg	Accuracy=101.88%
1-60_jpg	Accuracy=105.89%
1-20_jpg	Accuracy=101.29%
0-4_jpg	Accuracy=97.09%
1-47_jpg	Accuracy=104.92%
4-79_jpg	Accuracy=90.93%
7-37_jpg	Accuracy=103.14%
5-3_jpg	Accuracy=101.44%
5-33_jpg	Accuracy=101.54%
6-7_jpg	Accuracy=104.91%
7-29_jpg	Accuracy=101.95%
4-82_jpg	Accuracy=100.19%
5-46_jpg	Accuracy=102.24%
5-38_jpg	Accuracy=102.41%
5-11_jpg	Accuracy=104.36%
5-57_jpg	Accuracy=100.70%
images9_jpg	Accuracy=100.54%
4-56_jpg	Accuracy=101.09%
img_jpg	Accuracy=102.34%
4-35_jpg	Accuracy=103.70%
1-67_jpg	Accuracy=102.56%
1-48_jpg	Accuracy=103.93%
